id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-84,La Esperanza,Tafi Viejo,-26.709701,-65.267272,1581,2.671000,591.913000,"La Esperanza, Tafi Viejo, Tucuman, Argentina",la-esperanza,"La Esperanza, Tafí Viejo, Municipio de La Esperanza, Departamento Tafí Viejo, Tucumán, T4103, Argentina"
loc-85,La Florida,Cruz Alta,-26.820774,-65.095318,5002,2.618000,1910.619000,"La Florida, Cruz Alta, Tucuman, Argentina",la-florida,"Municipio de La Florida y Luisiana, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-86,Lamadrid,Graneros,-27.645082,-65.246897,3237,1.743000,1857.143000,"Lamadrid, Graneros, Tucuman, Argentina",lamadrid,"Municipio de Lamadrid, Departamento Graneros, Tucumán, T4159, Argentina"
loc-87,La Ramada,Burruyacu,-26.688141,-64.948120,2293,1.017000,2254.671000,"La Ramada, Burruyacu, Tucuman, Argentina",la-ramada,"Municipio de La Ramada y La Cruz, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-88,La Ramada de Abajo,Burruyacu,-26.722762,-64.909682,153,3.510000,43.590000,"La Ramada de Abajo, Burruyacu, Tucuman, Argentina",la-ramada-de-abajo,"La Ramada de Abajo, Municipio de La Ramada y La Cruz, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-89,La Reduccion,Lules,-26.954520,-65.351704,8035,3.893000,2063.961000,"La Reduccion, Lules, Tucuman, Argentina",la-reduccion,"La Reducción, Municipio de Lules, Departamento Lules, Tucumán, T4129, Argentina"
loc-91,Las Carreras,Tafi del Valle,-26.929544,-65.773734,398,2.921000,136.255000,"Las Carreras, Tafi del Valle, Tucuman, Argentina",las-carreras,"Las Carreras, Los Alisos, Municipio de El Mollar, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-92,Las Cejas,Cruz Alta,-26.888459,-64.741166,2718,1.621000,1676.743000,"Las Cejas, Cruz Alta, Tucuman, Argentina",las-cejas,"Municipio de Las Cejas, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-93,Las Piedritas,Cruz Alta,-26.800172,-65.133462,420,4.432000,94.765000,"Las Piedritas, Cruz Alta, Tucuman, Argentina",las-piedritas,"Las Piedritas, Alderetes, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-95,Las Talas,Leales,-26.991807,-65.274543,387,4.633000,83.531000,"Las Talas, Leales, Tucuman, Argentina",las-talas,"Las Talas, Municipio de Las Talas, Departamento Leales, Tucumán, T4113, Argentina"
loc-96,Las Talitas (Villa Mariano Moreno - El Colmenar),Tafi Viejo,-26.775631,-65.186460,68921,15.440000,4463.795000,"Las Talitas (Villa Mariano Moreno - El Colmenar), Tafi Viejo, Tucuman, Argentina",las-talitas,"Policía Federal Argentina, Colombres, Barrio Soeme, El Colmenar, Las Talitas, Departamento Tafí Viejo, Tucumán, 4101, Argentina"
loc-97,La Tipa,Rio Chico,-27.386215,-65.720855,1141,2.000000,570.500000,"La Tipa, Rio Chico, Tucuman, Argentina",la-tipa,"La Tipa, Municipio de Los Sarmiento y La Tipa, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-98,La Trinidad,Chicligasta,-27.414251,-65.516624,6584,2.813000,2340.562000,"La Trinidad, Chicligasta, Tucuman, Argentina",la-trinidad,"Municipio de Trinidad, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-99,La Tuquita,Tafi Viejo,-26.635280,-65.379274,142,1.401000,101.356000,"La Tuquita, Tafi Viejo, Tucuman, Argentina",la-tuquita,"La Tuquita, Tafí Viejo, Municipio de Raco, Departamento Tafí Viejo, Tucumán, T4103, Argentina"
loc-100,Los Aguirre,Lules,-26.792607,-65.217528,3977,6.154000,646.246000,"Los Aguirre, Tucuman, Argentina",los-aguirre,"Paso de los Andes, Vial I, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina"
